date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:56:31	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2001%20Jul%202016%2000:08:48%20GMT	http://hrh.name/hypermedia/images/modem.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/modem.png	(from http://hrh.name/hypermedia/devices.php)
01:56:32	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2001%20Jul%202016%2000:08:49%20GMT	http://hrh.name/hypermedia/images/tv.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/tv.png	(from http://hrh.name/hypermedia/devices.php)
01:56:32	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2001%20Jul%202016%2000:08:49%20GMT	http://hrh.name/hypermedia/images/outlet.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/outlet.png	(from http://hrh.name/hypermedia/devices.php)
01:56:33	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2001%20Jul%202016%2000:08:50%20GMT	http://hrh.name/hypermedia/images/lg-g5-titan.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/lg-g5-titan.png	(from http://hrh.name/hypermedia/devices.php)
01:56:34	270332/270332	---M--	200	added ('OK')	image/png	etag:%2241ffc-53672c7188d80%22	http://hrh.name/hypermedia/images/7.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/7.png	(from http://hrh.name/hypermedia/group.php)
01:56:34	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2001%20Jul%202016%2000:08:51%20GMT	http://hrh.name/hypermedia/images/sltv.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/sltv.png	(from http://hrh.name/hypermedia/sl.php)
01:56:35	2790/2790	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2000:08:52%20GMT	http://hrh.name/hypermedia/devices.php?category=2	/home/hrh/websites/timm/hrh.name/hypermedia/devices9297.html	(from http://hrh.name/hypermedia/devices.php)
01:56:35	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2001%20Jul%202016%2000:08:52%20GMT	http://hrh.name/hypermedia/images/health.png	/home/hrh/websites/timm/hrh.name/hypermedia/images/health.png	(from http://hrh.name/hypermedia/sl.php)
01:56:35	2790/2790	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2000:08:52%20GMT	http://hrh.name/hypermedia/devices.php?category=3	/home/hrh/websites/timm/hrh.name/hypermedia/devicesdb58.html	(from http://hrh.name/hypermedia/devices.php)
01:56:35	2790/2790	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2000:08:53%20GMT	http://hrh.name/hypermedia/devices.php?category=4	/home/hrh/websites/timm/hrh.name/hypermedia/devices3eca.html	(from http://hrh.name/hypermedia/devices.php)
